Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
ATP6V0A2,16.61111111,34,2.046822742,1.033386169,0.311080234
PRKAA2,13.6,28,2.058823529,1.041820176,0.313619123
ASAP2,20.38888889,42,2.059945504,1.042606172,0.313855731
UNC79,21.34166667,44,2.06169465,1.043830677,0.314224344
RIPK4,18.28888889,38,2.077764277,1.05503199,0.317596275
APMAP,256.0555556,534,2.085484921,1.060382881,0.319207054
ATF2,56.33333333,118,2.094674556,1.066726114,0.321116557
TEX264,10.97222222,23,2.096202531,1.067778115,0.321433241
SH3BP4,57.22222222,120,2.097087379,1.068386976,0.321616526
LINGO2,14.74571429,31,2.102305755,1.071972508,0.322695879
MCOLN2,8.06875,17,2.10689388,1.075117651,0.323642662
PUS1,19.88888889,42,2.111731843,1.078426648,0.324638769
CCDC6,30.55555556,65,2.127272727,1.089005007,0.327823172
RAMP1,24.38484848,52,2.132471729,1.092526616,0.328883282
PODXL2,250.9444444,537,2.139915873,1.097554082,0.3303967
KIF1B,55.11111111,118,2.141129032,1.098371741,0.33064284
NKAIN3,1.4,3,2.142857141,1.099535673,0.330993219
CHST1,12.81612903,27.5,2.145733702,1.101471041,0.331575823
DUOX1,2.777777778,6,2.159999999,1.111031313,0.334453751
PCF11,35.63888889,77,2.160561185,1.111406088,0.33456657
KRBA1,13.83333333,30,2.168674699,1.116813666,0.336194413
GATAD2B,40.25,88,2.186335404,1.128514741,0.339716787
RYR3,1.361111111,3,2.204081631,1.140177658,0.343227675
